t,x1,y1,theta1,x2,y2,theta2,gamma,v,w,x_ref,y_ref
5.000000000000001,3.4122884064293673,0.008805391928288733,0.022248497597868473,2.3523545881956878,-0.00023191117584803872,0.00472359685214536,-0.01752490074572311,0.591543417954432,0.002639470231105,5.72,0.0
5.200000000000001,3.5309788371036888,0.011446568661307268,0.020896217591764674,2.4710530514917077,0.00032877668182886087,0.0076049066697689485,-0.013291310921995723,0.59361734379805,-0.006761400030519,5.94,0.0
5.400000000000001,3.6499094019427054,0.013932173644147026,0.01736532097011367,2.589989730457039,0.001233296462554592,0.010488209264714797,-0.006877111705398873,0.594807098297436,-0.017654483108255,6.0,0.16
5.600000000000001,3.7683760365549883,0.01598961232740618,0.01207693253852407,2.708462248045903,0.002475906582898841,0.012935395409166151,0.0008584628706420818,0.592451003795228,-0.026441942157948,6.0,0.38
5.800000000000001,3.8854940565244154,0.01740411671273862,0.00550100189814467,2.825586439097423,0.003991038813296242,0.014636491069494459,0.009135489171349789,0.585663676861612,-0.032879653201897,6.0,0.6
6.000000000000001,4.002474727523155,0.01804765984455796,-0.004008945987003729,2.942582600896893,0.005703574382764616,0.015983982500115852,0.01999292848711958,0.584967975268753,-0.047549739425742,6.0,0.82
6.200000000000001,4.119390612019554,0.017579011392594424,-0.015969794906495128,3.0595326653792143,0.007573061379858161,0.01648128434637928,0.03245107925287441,0.584666891495381,-0.059804244597457,6.0,1.04
6.400000000000001,4.235992267168747,0.01571684411170072,-0.02984527151360233,3.1761978315567494,0.009496027273594965,0.015764761739863454,0.045610033253465784,0.583194386660634,-0.069377383035536,6.0,1.26
6.600000000000001,4.351167951153946,0.012278384800135326,-0.04422509072171713,3.2914675126882593,0.011313376888872127,0.013414213548786207,0.05763930427050334,0.576265341519998,-0.071899096040574,6.0,1.48
6.800000000000002,4.463913587235757,0.007288660271923087,-0.057904127669171926,3.4043354472488208,0.01282750228477651,0.009363590241168545,0.06726771791034047,0.564421561183908,-0.068395184737274,6.0,1.7
7.000000000000002,4.574446337858068,0.0008804554453562159,-0.07051961399036893,3.5150242536704743,0.013863977204179038,0.0038825994976101376,0.07440221348797907,0.553745485530309,-0.063077431605985,6.0,1.92
7.200000000000001,4.682621095841629,-0.00676195035791829,-0.08146063190919633,3.6233870693519385,0.014284708732022502,-0.0028089534717238573,0.07865167843747248,0.542383425036313,-0.054705089594137,5.86,2.0
7.400000000000001,4.78744360062568,-0.015321621608678613,-0.08984922378544914,3.728416680964752,0.013989684663913577,-0.01045052560511476,0.07939869818033438,0.526018327402128,-0.041942959381264,5.64,2.0
7.600000000000001,4.8885210750368575,-0.02443002275974049,-0.09520745195025013,3.8297073764515503,0.01293110511983445,-0.018671543629990538,0.0765359083202596,0.50759152358865,-0.026791140824005,5.42,2.0
7.800000000000002,4.986266762163682,-0.03376661516449711,-0.09693679456922354,3.9276545066501263,0.011102068449716292,-0.02724207050412754,0.069694724065096,0.491106655884566,-0.008646713094867,5.2,2.0
